tran_date,curr_code,std_rate
2010/01/15 上午 12:00:00,="MXN ",2.50740500
2010/01/15 上午 12:00:00,="MYR ",9.51879700
2010/01/15 上午 12:00:00,="NOK ",5.60510000
2010/01/15 上午 12:00:00,="NTD ",1.00000000
2010/01/15 上午 12:00:00,="NZD ",23.48588100
2010/01/15 上午 12:00:00,="PHP ",0.69425200
2010/01/15 上午 12:00:00,="PLN ",11.30014900
2010/01/15 上午 12:00:00,="SEK ",4.50572600
2010/01/15 上午 12:00:00,="SGD ",22.88302500
2010/01/15 上午 12:00:00,="THB ",0.96800500
2010/01/15 上午 12:00:00,="TRY ",21.83889100
2010/01/15 上午 12:00:00,="USD ",31.82800000
2010/01/15 上午 12:00:00,="ZAR ",4.30172100
2010/01/18 上午 12:00:00,="AUD ",29.44707700
2010/01/18 上午 12:00:00,="BRL ",18.06250000
2010/01/18 上午 12:00:00,="CAD ",30.98440500
2010/01/18 上午 12:00:00,="CHF ",31.02371400
2010/01/18 上午 12:00:00,="CNY ",4.65664700
2010/01/18 上午 12:00:00,="COP ",0.01613800
2010/01/18 上午 12:00:00,="DKK ",6.14430100
2010/01/18 上午 12:00:00,="EUR ",45.72991500
2010/01/18 上午 12:00:00,="GBP ",51.95439700
2010/01/18 上午 12:00:00,="HKD ",4.09501400
2010/01/18 上午 12:00:00,="INR ",0.69845100
2010/01/18 上午 12:00:00,="JPY ",0.35014900
2010/01/18 上午 12:00:00,="KRW ",0.02826800
2010/01/18 上午 12:00:00,="MXN ",2.50979000
2010/01/18 上午 12:00:00,="MYR ",9.51511500
2010/01/18 上午 12:00:00,="NOK ",5.62346300
2010/01/18 上午 12:00:00,="NTD ",1.00000000
2010/01/18 上午 12:00:00,="NZD ",23.49281000
2010/01/18 上午 12:00:00,="PHP ",0.69346900
2010/01/18 上午 12:00:00,="PLN ",11.37673100
2010/01/18 上午 12:00:00,="SEK ",4.52365700
2010/01/18 上午 12:00:00,="SGD ",22.87050400
2010/01/18 上午 12:00:00,="THB ",0.96773200
2010/01/18 上午 12:00:00,="TRY ",21.90902800
2010/01/18 上午 12:00:00,="USD ",31.79000000
2010/01/18 上午 12:00:00,="ZAR ",4.29774600
2010/01/19 上午 12:00:00,="AUD ",29.35776000
2010/01/19 上午 12:00:00,="BRL ",17.95291600
2010/01/19 上午 12:00:00,="CAD ",30.83187900
2010/01/19 上午 12:00:00,="CHF ",30.79604900
2010/01/19 上午 12:00:00,="CNY ",4.65770300
2010/01/19 上午 12:00:00,="COP ",0.01625100
2010/01/19 上午 12:00:00,="DKK ",6.10458400
2010/01/19 上午 12:00:00,="EUR ",45.43266000
2010/01/19 上午 12:00:00,="GBP ",52.02798000
2010/01/19 上午 12:00:00,="HKD ",4.09624900
2010/01/19 上午 12:00:00,="INR ",0.69371700
2010/01/19 上午 12:00:00,="JPY ",0.34891400
2010/01/19 上午 12:00:00,="KRW ",0.02818100
2010/01/19 上午 12:00:00,="MXN ",2.51584300
2010/01/19 上午 12:00:00,="MYR ",9.49877500
2010/01/19 上午 12:00:00,="NOK ",5.59199500
2010/01/19 上午 12:00:00,="NTD ",1.00000000
2010/01/19 上午 12:00:00,="NZD ",23.38254000
2010/01/19 上午 12:00:00,="PHP ",0.69220700
2010/01/19 上午 12:00:00,="PLN ",11.34822600
2010/01/19 上午 12:00:00,="SEK ",4.50482400
2010/01/19 上午 12:00:00,="SGD ",22.85139400
2010/01/19 上午 12:00:00,="THB ",0.96568500
2010/01/19 上午 12:00:00,="TRY ",21.83616000
2010/01/19 上午 12:00:00,="USD ",31.80000000
2010/01/19 上午 12:00:00,="ZAR ",4.29596200
2010/01/20 上午 12:00:00,="AUD ",29.11729800
2010/01/20 上午 12:00:00,="BRL ",17.88149800
2010/01/20 上午 12:00:00,="CAD ",30.56856200
2010/01/20 上午 12:00:00,="CHF ",30.63882800
2010/01/20 上午 12:00:00,="CNY ",4.68573800
2010/01/20 上午 12:00:00,="COP ",0.01627400
2010/01/20 上午 12:00:00,="DKK ",6.06319100
2010/01/20 上午 12:00:00,="EUR ",45.12189500
2010/01/20 上午 12:00:00,="GBP ",52.11810800
2010/01/20 上午 12:00:00,="HKD ",4.11775300
2010/01/20 上午 12:00:00,="INR ",0.69528400
2010/01/20 上午 12:00:00,="JPY ",0.35061400
2010/01/20 上午 12:00:00,="KRW ",0.02798700
2010/01/20 上午 12:00:00,="MXN ",2.50783900
2010/01/20 上午 12:00:00,="MYR ",9.50809900
2010/01/20 上午 12:00:00,="NOK ",5.53508100
2010/01/20 上午 12:00:00,="NTD ",1.00000000
2010/01/20 上午 12:00:00,="NZD ",23.08398400
2010/01/20 上午 12:00:00,="PHP ",0.69370100
2010/01/20 上午 12:00:00,="PLN ",11.13780400
2010/01/20 上午 12:00:00,="SEK ",4.44608100
2010/01/20 上午 12:00:00,="SGD ",22.83206100
2010/01/20 上午 12:00:00,="THB ",0.97027600
2010/01/20 上午 12:00:00,="TRY ",21.71758300
2010/01/20 上午 12:00:00,="USD ",31.99000000
2010/01/20 上午 12:00:00,="ZAR ",4.24619700
2010/01/21 上午 12:00:00,="AUD ",28.72710000
2010/01/21 上午 12:00:00,="BRL ",17.70327200
2010/01/21 上午 12:00:00,="CAD ",30.33260500
2010/01/21 上午 12:00:00,="CHF ",30.60893700
2010/01/21 上午 12:00:00,="CNY ",4.67554300
2010/01/21 上午 12:00:00,="COP ",0.01615600
2010/01/21 上午 12:00:00,="DKK ",6.04034600
2010/01/21 上午 12:00:00,="EUR ",44.95472000
2010/01/21 上午 12:00:00,="GBP ",51.69282100
2010/01/21 上午 12:00:00,="HKD ",4.10708100
2010/01/21 上午 12:00:00,="INR ",0.69404200
2010/01/21 上午 12:00:00,="JPY ",0.35296900
2010/01/21 上午 12:00:00,="KRW ",0.02783400
2010/01/21 上午 12:00:00,="MXN ",2.46206900
2010/01/21 上午 12:00:00,="MYR ",9.47151300
2010/01/21 上午 12:00:00,="NOK ",5.48540100
2010/01/21 上午 12:00:00,="NTD ",1.00000000
2010/01/21 上午 12:00:00,="NZD ",22.66568200
2010/01/21 上午 12:00:00,="PHP ",0.69118700
2010/01/21 上午 12:00:00,="PLN ",10.98458300
2010/01/21 上午 12:00:00,="SEK ",4.40480800
2010/01/21 上午 12:00:00,="SGD ",22.72138400
2010/01/21 上午 12:00:00,="THB ",0.96724200
2010/01/21 上午 12:00:00,="TRY ",21.47692100
2010/01/21 上午 12:00:00,="USD ",31.91900000
2010/01/21 上午 12:00:00,="ZAR ",4.19826600
2010/01/22 上午 12:00:00,="AUD ",28.79479200
2010/01/22 上午 12:00:00,="BRL ",17.60819300
2010/01/22 上午 12:00:00,="CAD ",30.22970000
2010/01/22 上午 12:00:00,="CHF ",30.71751000
2010/01/22 上午 12:00:00,="CNY ",4.68427300
2010/01/22 上午 12:00:00,="COP ",0.01624300
2010/01/22 上午 12:00:00,="DKK ",6.07222900
2010/01/22 上午 12:00:00,="EUR ",45.21652200
2010/01/22 上午 12:00:00,="GBP ",51.52617600
2010/01/22 上午 12:00:00,="HKD ",4.11461200
2010/01/22 上午 12:00:00,="INR ",0.69258300
2010/01/22 上午 12:00:00,="JPY ",0.35600600
2010/01/22 上午 12:00:00,="KRW ",0.02775300
2010/01/22 上午 12:00:00,="MXN ",2.46462600
2010/01/22 上午 12:00:00,="MYR ",9.36539100
2010/01/22 上午 12:00:00,="NOK ",5.50724100
2010/01/22 上午 12:00:00,="NTD ",1.00000000
2010/01/22 上午 12:00:00,="NZD ",22.69300800
2010/01/22 上午 12:00:00,="PHP ",0.69093700
2010/01/22 上午 12:00:00,="PLN ",11.05350500
2010/01/22 上午 12:00:00,="SEK ",4.41688300
2010/01/22 上午 12:00:00,="SGD ",22.76642700
2010/01/22 上午 12:00:00,="THB ",0.96791800
2010/01/22 上午 12:00:00,="TRY ",21.49626900
2010/01/22 上午 12:00:00,="USD ",31.98000000
2010/01/22 上午 12:00:00,="ZAR ",4.18778200
2010/01/25 上午 12:00:00,="AUD ",28.90407700
2010/01/25 上午 12:00:00,="BRL ",17.54665200
2010/01/25 上午 12:00:00,="CAD ",30.22596200
2010/01/25 上午 12:00:00,="CHF ",30.74629700
2010/01/25 上午 12:00:00,="CNY ",4.68294500
2010/01/25 上午 12:00:00,="COP ",0.01631400
2010/01/25 上午 12:00:00,="DKK ",6.07679100
2010/01/25 上午 12:00:00,="EUR ",45.24074700
2010/01/25 上午 12:00:00,="GBP ",51.92887100
2010/01/25 上午 12:00:00,="HKD ",4.11486100
2010/01/25 上午 12:00:00,="INR ",0.69356800
2010/01/25 上午 12:00:00,="JPY ",0.35412100
2010/01/25 上午 12:00:00,="KRW ",0.02788700
2010/01/25 上午 12:00:00,="MXN ",2.48662200
2010/01/25 上午 12:00:00,="MYR ",9.40377100
2010/01/25 上午 12:00:00,="NOK ",5.50182400
2010/01/25 上午 12:00:00,="NTD ",1.00000000
2010/01/25 上午 12:00:00,="NZD ",22.82338300
2010/01/25 上午 12:00:00,="PHP ",0.69131800
2010/01/25 上午 12:00:00,="PLN ",11.11381500
2010/01/25 上午 12:00:00,="SEK ",4.42154800
2010/01/25 上午 12:00:00,="SGD ",22.85693900
2010/01/25 上午 12:00:00,="THB ",0.96908200
2010/01/25 上午 12:00:00,="TRY ",21.50978900
2010/01/25 上午 12:00:00,="USD ",31.97000000
2010/01/25 上午 12:00:00,="ZAR ",4.22046200
2010/01/26 上午 12:00:00,="AUD ",28.80141800
2010/01/26 上午 12:00:00,="BRL ",17.50778300
2010/01/26 上午 12:00:00,="CAD ",30.16373400
2010/01/26 上午 12:00:00,="CHF ",30.63360100
2010/01/26 上午 12:00:00,="CNY ",4.69539600
2010/01/26 上午 12:00:00,="COP ",0.01627600
2010/01/26 上午 12:00:00,="DKK ",6.05794300
2010/01/26 上午 12:00:00,="EUR ",45.10459100
2010/01/26 上午 12:00:00,="GBP ",51.74959200
2010/01/26 上午 12:00:00,="HKD ",4.12219300
2010/01/26 上午 12:00:00,="INR ",0.69541200
2010/01/26 上午 12:00:00,="JPY ",0.35755700
2010/01/26 上午 12:00:00,="KRW ",0.02762600
2010/01/26 上午 12:00:00,="MXN ",2.49063700
2010/01/26 上午 12:00:00,="MYR ",9.37280700
2010/01/26 上午 12:00:00,="NOK ",5.48905800
2010/01/26 上午 12:00:00,="NTD ",1.00000000
2010/01/26 上午 12:00:00,="NZD ",22.70135100
2010/01/26 上午 12:00:00,="PHP ",0.68794900
2010/01/26 上午 12:00:00,="PLN ",11.06604100
2010/01/26 上午 12:00:00,="SEK ",4.40352200
2010/01/26 上午 12:00:00,="SGD ",22.83282300
2010/01/26 上午 12:00:00,="THB ",0.96989400
2010/01/26 上午 12:00:00,="TRY ",21.47450900
2010/01/26 上午 12:00:00,="USD ",32.05500000
2010/01/26 上午 12:00:00,="ZAR ",4.22721900
2010/01/27 上午 12:00:00,="AUD ",28.72122400
2010/01/27 上午 12:00:00,="BRL ",17.30779600
2010/01/27 上午 12:00:00,="CAD ",30.14187700
2010/01/27 上午 12:00:00,="CHF ",30.54365400
2010/01/27 上午 12:00:00,="CNY ",4.69912700
2010/01/27 上午 12:00:00,="COP ",0.01613100
2010/01/27 上午 12:00:00,="DKK ",6.04291100
2010/01/27 上午 12:00:00,="EUR ",44.98578400
2010/01/27 上午 12:00:00,="GBP ",51.87336000
2010/01/27 上午 12:00:00,="HKD ",4.12519600
2010/01/27 上午 12:00:00,="INR ",0.69175200
2010/01/27 上午 12:00:00,="JPY ",0.35644400
2010/01/27 上午 12:00:00,="KRW ",0.02765400
2010/01/27 上午 12:00:00,="MXN ",2.47494600
2010/01/27 上午 12:00:00,="MYR ",9.36095700
2010/01/27 上午 12:00:00,="NOK ",5.47720700
2010/01/27 上午 12:00:00,="NTD ",1.00000000
2010/01/27 上午 12:00:00,="NZD ",22.66131200
2010/01/27 上午 12:00:00,="PHP ",0.68517700
2010/01/27 上午 12:00:00,="PLN ",10.97915700
2010/01/27 上午 12:00:00,="SEK ",4.39488200
2010/01/27 上午 12:00:00,="SGD ",22.84086900
2010/01/27 上午 12:00:00,="THB ",0.97035700
2010/01/27 上午 12:00:00,="TRY ",21.40093400
2010/01/27 上午 12:00:00,="USD ",32.08000000
2010/01/27 上午 12:00:00,="ZAR ",4.22260800
2010/01/28 上午 12:00:00,="AUD ",28.61990600
