tran_date,curr_code,std_rate
2015/02/03 上午 12:00:00,JPY,0.268972
2015/02/03 上午 12:00:00,USD,31.623
2015/02/04 上午 12:00:00,AUD,24.39787
2015/02/04 上午 12:00:00,EUR,35.706119
2015/02/04 上午 12:00:00,GBP,47.782309
2015/02/04 上午 12:00:00,JPY,0.268358
2015/02/04 上午 12:00:00,USD,31.473
2015/02/05 上午 12:00:00,AUD,24.58784
2015/02/05 上午 12:00:00,EUR,36.19272
2015/02/05 上午 12:00:00,GBP,48.336848
2015/02/05 上午 12:00:00,JPY,0.268314
2015/02/05 上午 12:00:00,USD,31.535
2015/02/06 上午 12:00:00,AUD,24.555902
2015/02/06 上午 12:00:00,EUR,35.634084
2015/02/06 上午 12:00:00,GBP,47.997058
2015/02/06 上午 12:00:00,JPY,0.264355
2015/02/06 上午 12:00:00,USD,31.49
2015/02/09 上午 12:00:00,AUD,24.623112
2015/02/09 上午 12:00:00,EUR,35.7417
2015/02/09 上午 12:00:00,GBP,48.021696
2015/02/09 上午 12:00:00,JPY,0.266015
2015/02/09 上午 12:00:00,USD,31.56
2015/02/10 上午 12:00:00,AUD,24.480204
2015/02/10 上午 12:00:00,EUR,35.663414
2015/02/10 上午 12:00:00,GBP,48.053151
2015/02/10 上午 12:00:00,JPY,0.26377
2015/02/10 上午 12:00:00,USD,31.502
2015/02/11 上午 12:00:00,AUD,24.367408
2015/02/11 上午 12:00:00,EUR,35.78095
2015/02/11 上午 12:00:00,GBP,48.10038
2015/02/11 上午 12:00:00,JPY,0.262029
2015/02/11 上午 12:00:00,USD,31.564
2015/02/12 上午 12:00:00,AUD,24.465805
2015/02/12 上午 12:00:00,EUR,36.067689
2015/02/12 上午 12:00:00,GBP,48.659592
2015/02/12 上午 12:00:00,JPY,0.265553
2015/02/12 上午 12:00:00,USD,31.63
2015/02/13 上午 12:00:00,AUD,24.434043
2015/02/13 上午 12:00:00,EUR,35.859468
2015/02/13 上午 12:00:00,GBP,48.414845
2015/02/13 上午 12:00:00,JPY,0.265142
2015/02/13 上午 12:00:00,USD,31.475
2015/02/16 上午 12:00:00,AUD,24.56268
2015/02/16 上午 12:00:00,EUR,35.8818
2015/02/16 上午 12:00:00,GBP,48.55024
2015/02/16 上午 12:00:00,JPY,0.266689
2015/02/16 上午 12:00:00,USD,31.6
2015/02/17 上午 12:00:00,AUD,24.734588
2015/02/17 上午 12:00:00,EUR,36.102122
2015/02/17 上午 12:00:00,GBP,48.551675
2015/02/17 上午 12:00:00,JPY,0.265308
2015/02/17 上午 12:00:00,USD,31.638
2015/02/24 上午 12:00:00,AUD,24.818042
2015/02/24 上午 12:00:00,EUR,35.937361
2015/02/24 上午 12:00:00,GBP,48.970635
2015/02/24 上午 12:00:00,JPY,0.26633
